epoch,train_loss,train_acc,val_loss,val_acc
1,0.8501,0.7065,0.6466,0.7899
2,0.4640,0.8482,0.5408,0.8257
3,0.3916,0.8733,0.5141,0.8370
4,0.3494,0.8873,0.4578,0.8566
5,0.3230,0.8959,0.4433,0.8602
6,0.3007,0.9036,0.4205,0.8671
7,0.2870,0.9086,0.4103,0.8700
8,0.2738,0.9127,0.3656,0.8872
9,0.2647,0.9158,0.3604,0.8872
10,0.2568,0.9188,0.3553,0.8912
11,0.2191,0.9311,0.3036,0.9074
12,0.2111,0.9337,0.3072,0.9064
13,0.2084,0.9346,0.3098,0.9058
14,0.2065,0.9352,0.3004,0.9082
15,0.2044,0.9360,0.2946,0.9121
16,0.2037,0.9361,0.2915,0.9115
17,0.2029,0.9362,0.2965,0.9098
18,0.2005,0.9373,0.2993,0.9087
19,0.1995,0.9374,0.2843,0.9133
20,0.1993,0.9375,0.2932,0.9097
21,0.1954,0.9392,0.2913,0.9108
22,0.1943,0.9393,0.2867,0.9135
23,0.1940,0.9395,0.2820,0.9136
24,0.1937,0.9392,0.2830,0.9141
25,0.1932,0.9397,0.2839,0.9129
26,0.1928,0.9398,0.2851,0.9134
27,0.1932,0.9396,0.2906,0.9110
28,0.1934,0.9398,0.2883,0.9119
29,0.1931,0.9398,0.2835,0.9126
30,0.1923,0.9402,0.2835,0.9131
